NAME	DESCRIPTION	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-11_htsqct	HD-5_htsqct	HD-4_htsqct	HD-3-1_htsqct	HD-2-1_htsqct	HD-1_htsqct
GRHPR	GRHPR	5.82985280736061	10.4647546025543	34.1319013465351	8.49885126331857	40.290029001832	33.0186804990896	19.3816378866157	30.5812039408487	18.4910829526177	75.1464239264544
HINT2	HINT2	30.3152345982752	26.1618865063856	22.1857358752478	8.49885126331857	32.4558566959202	13.9694417496148	36.723103364114	15.2906019704243	15.0240048990019	16.3108517049668
DENND4C	DENND4C	204.044848257621	218.264881710417	198.818325343567	266.297339583982	182.424297980517	36.8285282489846	71.4060343191105	199.870011470547	204.557605163333	16.8933821230014
RPS6	RPS6	424.413284375852	690.673803768581	973.612485909913	147.313421897522	895.333977818488	2777.37900967343	3547.85981945523	1535.61331217262	1660.73038768197	4579.27161616944
CNPY3	CNPY3	166.733790290513	150.991459265426	133.114415251487	127.482768949779	165.077202160284	298.438073741772	155.053103092926	196.593453905456	167.575439258098	294.760391525472
KIF13A	KIF13A	5.82985280736061	5.23237730127713	2.55989260099013	11.3318016844248	8.95333977818488	6.34974624982493	6.12051722735232	1.09218585503031	4.62277073815442	9.32048668855248
PIM1	PIM1	13.9916467376655	12.7072020173873	3.41319013465351	5.66590084221238	8.95333977818488	0	1.02008620455872	0	4.62277073815442	2.33012167213812
GMPR	GMPR	1269.74194144314	1210.17412153824	845.617855860406	1311.65604497217	935.62400682032	201.921930744433	68.3457757054343	192.224710485335	78.5871025486251	39.6120684263481
YIPF3	YIPF3	106.103321093963	33.6367112224958	71.6769928277236	133.148669791991	180.745546772107	115.565381746814	151.992844479249	166.012249964607	58.9403269114688	154.953091197185
TMEM14B	TMEM14B	11.6597056147212	5.23237730127713	13.652760538614	11.3318016844248	8.39375604204833	26.6689342492647	29.5824999322029	26.2124605207275	35.8264732206967	56.5054505493494
TMEM63B	TMEM63B	26.8173229138588	5.97985977288814	10.2395704039605	2.83295042110619	6.15542109750211	3.80984774989496	1.02008620455872	8.73748684024248	2.31138536907721	0
CAPN11	CAPN11	15.1576172991376	8.96978965933222	2.55989260099013	16.9977025266371	15.108760875687	31.7487312491247	16.3213792729395	45.871805911273	55.473248857853	8.15542585248342
SLC22A23	SLC22A23	20.9874701064982	45.5964307682721	34.1319013465351	22.6636033688495	25.7408518622815	17.7792894995098	20.4017240911744	22.9359029556365	2.31138536907721	6.99036501641436
UQCC2	UQCC2	3.49791168441637	11.2122370741653	16.2126531396042	0	10.072507250458	11.4295432496849	8.16068963646977	15.2906019704243	11.556926845386	24.4662775574503
HMGA1	HMGA1	1.16597056147212	7.47482471611018	8.53297533663377	5.66590084221238	9.51292351432144	3.80984774989496	8.16068963646977	2.18437171006062	3.46707805361581	1.16506083606906
FLOT1	FLOT1	124.758850077517	87.4554491784891	115.195167044556	127.482768949779	88.9738140457123	69.8472087480743	18.361551682057	7.64530098521217	8.08984879177023	58.253041803453
TPMT	TPMT	3.49791168441637	5.97985977288814	7.67967780297039	14.164752105531	2.79791868068278	2.53989849992997	25.502155113968	22.9359029556365	19.6467756371563	39.0295380083135
